#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	80	ACTB	9606.ENSP00000349960	Actin, cytoplasmic 1; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
MCL	1	Red	80	ACTG1	9606.ENSP00000458162	Actin, cytoplasmic 2; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family
MCL	1	Red	80	ACTN4	9606.ENSP00000252699	Alpha-actinin-4; F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART complex is necessary for efficient transferrin receptor recycling but not for EGFR degradation. Involved in tight junction assembly in epithelial cells probably through interaction with MICALL2. Links MICALL2 to the actin cytoskeleton and recruits it to the tight junctions (By similarity). May also function as a transcriptional coacti [...] 
MCL	1	Red	80	AK1	9606.ENSP00000362271	Adenylate kinase isoenzyme 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism; Belongs to the adenylate kinase family. AK1 subfamily
MCL	1	Red	80	ALDOA	9606.ENSP00000378669	Fructose-bisphosphate aldolase A; Plays a key role in glycolysis and gluconeogenesis. In addition, may also function as scaffolding protein (By similarity); Belongs to the class I fructose-bisphosphate aldolase family
MCL	1	Red	80	ALDOC	9606.ENSP00000226253	Fructose-bisphosphate aldolase, class i; Belongs to the class I fructose-bisphosphate aldolase family
MCL	1	Red	80	ANP32B	9606.ENSP00000345848	Acidic leucine-rich nuclear phosphoprotein 32 family member B; Multifunctional protein working as a cell cycle progression factor as well as a cell survival factor. Required for the progression from the G1 to the S phase. Anti-apoptotic protein which functions as a caspase-3 inhibitor. Has no phosphatase 2A (PP2A) inhibitor activity (By similarity). Exhibits histone chaperone properties, stimulating core histones to assemble into a nucleosome; ANP32 acidic nuclear phosphoproteins
MCL	1	Red	80	ANXA1	9606.ENSP00000366109	Annexin A1; Plays important roles in the innate immune response as effector of glucocorticoid-mediated responses and regulator of the inflammatory process. Has anti-inflammatory activity. Plays a role in glucocorticoid-mediated down- regulation of the early phase of the inflammatory response (By similarity). Promotes resolution of inflammation and wound healing. Functions at least in part by activating the formyl peptide receptors and downstream signaling cascades. Promotes chemotaxis of granulocytes and monocytes via activation of the formyl peptide receptors. Contributes to the adapt [...] 
MCL	1	Red	80	ANXA4	9606.ENSP00000377833	Annexin A4; Calcium/phospholipid-binding protein which promotes membrane fusion and is involved in exocytosis; Annexins
MCL	1	Red	80	ANXA5	9606.ENSP00000296511	Annexin A5; This protein is an anticoagulant protein that acts as an indirect inhibitor of the thromboplastin-specific complex, which is involved in the blood coagulation cascade; Annexins
MCL	1	Red	80	ARHGDIA	9606.ENSP00000269321	Rho GDP-dissociation inhibitor 1; Controls Rho proteins homeostasis. Regulates the GDP/GTP exchange reaction of the Rho proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them. Retains Rho proteins such as CDC42, RAC1 and RHOA in an inactive cytosolic pool, regulating their stability and protecting them from degradation. Actively involved in the recycling and distribution of activated Rho GTPases in the cell, mediates extraction from membranes of both inactive and activated molecules due its exceptionally high affinity for prenylated forms. T [...] 
MCL	1	Red	80	ARPC2	9606.ENSP00000295685	Actin-related protein 2/3 complex subunit 2; Functions as actin-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament; Belongs to the ARPC2 family
MCL	1	Red	80	BAIAP2	9606.ENSP00000316338	Brain-specific angiogenesis inhibitor 1-associated protein 2; Adapter protein that links membrane-bound small G- proteins to cytoplasmic effector proteins. Necessary for CDC42- mediated reorganization of the actin cytoskeleton and for RAC1- mediated membrane ruffling. Involved in the regulation of the actin cytoskeleton by WASF family members and the Arp2/3 complex. Plays a role in neurite growth. Acts syngeristically with ENAH to promote filipodia formation. Plays a role in the reorganization of the actin cytoskeleton in response to bacterial infection. Participates in actin bundling  [...] 
MCL	1	Red	80	BANF1	9606.ENSP00000310275	Barrier-to-autointegration factor; Plays fundamental roles in nuclear assembly, chromatin organization, gene expression and gonad development. May potently compress chromatin structure and be involved in membrane recruitment and chromatin decondensation during nuclear assembly. Contains 2 non-specific dsDNA-binding sites which may promote DNA cross-bridging; Belongs to the BAF family
MCL	1	Red	80	CAP1	9606.ENSP00000361883	Adenylyl cyclase-associated protein 1; Directly regulates filament dynamics and has been implicated in a number of complex developmental and morphological processes, including mRNA localization and the establishment of cell polarity; Belongs to the CAP family
MCL	1	Red	80	CFL1	9606.ENSP00000432660	Cofilin-1; Binds to F-actin and exhibits pH-sensitive F-actin depolymerizing activity. Regulates actin cytoskeleton dynamics. Important for normal progress through mitosis and normal cytokinesis. Plays a role in the regulation of cell morphology and cytoskeletal organization. Required for the up-regulation of atypical chemokine receptor ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation. Required for neural tube morphogenesis and neural crest cell migration (By similarity)
MCL	1	Red	80	CKAP5	9606.ENSP00000432768	Cytoskeleton-associated protein 5; Binds to the plus end of microtubules and regulates microtubule dynamics and microtubule organization. Acts as processive microtubule polymerase. Promotes cytoplasmic microtubule nucleation and elongation. Plays a major role in organizing spindle poles. In spindle formation protects kinetochore microtubules from depolymerization by KIF2C and has an essential role in centrosomal microtubule assembly independently of KIF2C activity. Contributes to centrosome integrity. Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stab [...] 
MCL	1	Red	80	CSRP1	9606.ENSP00000356275	Cysteine and glycine-rich protein 1; Could play a role in neuronal development; LIM domain containing
MCL	1	Red	80	ENO1	9606.ENSP00000234590	Alpha-enolase; Multifunctional enzyme that, as well as its role in glycolysis, plays a part in various processes such as growth control, hypoxia tolerance and allergic responses. May also function in the intravascular and pericellular fibrinolytic system due to its ability to serve as a receptor and activator of plasminogen on the cell surface of several cell-types such as leukocytes and neurons. Stimulates immunoglobulin production; Belongs to the enolase family
MCL	1	Red	80	ENSP00000446743	9606.ENSP00000446743	Uncharacterized protein
MCL	1	Red	80	FAM213A	9606.ENSP00000482445	Redox-regulatory protein FAM213A; Involved in redox regulation of the cell. Acts as an antioxidant. Inhibits TNFSF11-induced NFKB1 and JUN activation and osteoclast differentiation. May affect bone resorption and help to maintain bone mass. Acts as a negative regulator of macrophage-mediated inflammation by inhibiting macrophage production of inflammatory cytokines, probably through suppression of the MAPK signaling pathway; Belongs to the peroxiredoxin-like FAM213 family. FAM213A subfamily
MCL	1	Red	80	FSCN1	9606.ENSP00000371798	Fascin; Organizes filamentous actin into bundles with a minimum of 4.1:1 actin/fascin ratio. Plays a role in the organization of actin filament bundles and the formation of microspikes, membrane ruffles, and stress fibers. Important for the formation of a diverse set of cell protrusions, such as filopodia, and for cell motility and migration; Fascins
MCL	1	Red	80	GAPDH	9606.ENSP00000229239	Glyceraldehyde-3-phosphate dehydrogenase; Has both glyceraldehyde-3-phosphate dehydrogenase and nitrosylase activities, thereby playing a role in glycolysis and nuclear functions, respectively. Participates in nuclear events including transcription, RNA transport, DNA replication and apoptosis. Nuclear functions are probably due to the nitrosylase activity that mediates cysteine S-nitrosylation of nuclear target proteins such as SIRT1, HDAC2 and PRKDC. Modulates the organization and assembly of the cytoskeleton. Facilitates the CHP1-dependent microtubule and membrane associations throu [...] 
MCL	1	Red	80	GLUD1	9606.ENSP00000277865	Glutamate dehydrogenase 1, mitochondrial; Mitochondrial glutamate dehydrogenase that converts L- glutamate into alpha-ketoglutarate. Plays a key role in glutamine anaplerosis by producing alpha-ketoglutarate, an important intermediate in the tricarboxylic acid cycle. May be involved in learning and memory reactions by increasing the turnover of the excitatory neurotransmitter glutamate (By similarity); Belongs to the Glu/Leu/Phe/Val dehydrogenases family
MCL	1	Red	80	GLUL	9606.ENSP00000307900	Glutamate-ammonia ligase; Glutamine synthetase; This enzyme has 2 functions: it catalyzes the production of glutamine and 4-aminobutanoate (gamma-aminobutyric acid, GABA), the latter in a pyridoxal phosphate-independent manner (By similarity). Essential for proliferation of fetal skin fibroblasts; Belongs to the glutamine synthetase family
MCL	1	Red	80	GSN	9606.ENSP00000362924	Gelsolin; Calcium-regulated, actin-modulating protein that binds to the plus (or barbed) ends of actin monomers or filaments, preventing monomer exchange (end-blocking or capping). It can promote the assembly of monomers into filaments (nucleation) as well as sever filaments already formed. Plays a role in ciliogenesis; Gelsolin/villins
MCL	1	Red	80	H6PD	9606.ENSP00000473348	GDH/6PGL endoplasmic bifunctional protein; Oxidizes glucose-6-phosphate and glucose, as well as other hexose-6-phosphates; In the C-terminal section; belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6- phosphogluconolactonase subfamily
MCL	1	Red	80	HK1	9606.ENSP00000402103	Catalyzes the phosphorylation of various hexoses, such as D- glucose, D-glucosamine, D-fructose, D-mannose and 2-deoxy-D-glucose, to hexose 6-phosphate (D-glucose 6-phosphate, D-glucosamine 6-phosphate, D-fructose 6-phosphate, D-mannose 6-phosphate and 2-deoxy-D-glucose 6- phosphate, respectively) Does not phosphorylate N-acetyl-D-glucosamine . Mediates the initial step of glycolysis by catalyzing phosphorylation of D-glucose to D-glucose 6-phosphate (By similarity). Involved in innate immunity and inflammation by acting as a pattern recognition receptor for bacterial peptidoglycan . W [...] 
MCL	1	Red	80	IDH2	9606.ENSP00000331897	Isocitrate dehydrogenase [NADP], mitochondrial; Plays a role in intermediary metabolism and energy production. It may tightly associate or interact with the pyruvate dehydrogenase complex; Belongs to the isocitrate and isopropylmalate dehydrogenases family
MCL	1	Red	80	LDHA	9606.ENSP00000445175	L-lactate dehydrogenase a chain; Lactate dehydrogenase A; Belongs to the LDH/MDH superfamily. LDH family
MCL	1	Red	80	MAP1A	9606.ENSP00000300231	Microtubule-associated protein 1A; Structural protein involved in the filamentous cross- bridging between microtubules and other skeletal elements
MCL	1	Red	80	MAP1LC3A	9606.ENSP00000363970	Microtubule-associated proteins 1A/1B light chain 3A; Ubiquitin-like modifier involved in formation of autophagosomal vacuoles (autophagosomes). Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation; Autophagy related
MCL	1	Red	80	MAPRE2	9606.ENSP00000300249	Microtubule-associated protein RP/EB family member 2; May be involved in microtubule polymerization, and spindle function by stabilizing microtubules and anchoring them at centrosomes. May play a role in cell migration (By similarity); Belongs to the MAPRE family
MCL	1	Red	80	MDH1	9606.ENSP00000438144	Malate dehydrogenase, cytoplasmic; Malate dehydrogenase 1; Belongs to the LDH/MDH superfamily. MDH type 2 family
MCL	1	Red	80	MDH2	9606.ENSP00000327070	Malate dehydrogenase, mitochondrial; Malate dehydrogenase 2
MCL	1	Red	80	MSN	9606.ENSP00000353408	Moesin; Probably involved in connections of major cytoskeletal structures to the plasma membrane. May inhibit herpes simplex virus 1 infection at an early stage. Plays a role in regulating the proliferation, migration, and adhesion of human lymphoid cells and participates in immunologic synapse formation; FERM domain containing
MCL	1	Red	80	MYH10	9606.ENSP00000353590	Myosin heavy chain 9/10/11/14; Myosin-10; Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. Involved with LARP6 in the stabilization of type I collagen mRNAs for CO1A1 and CO1A2. During cell spreading, plays an important role in cytoskeleton reorganization, focal contacts formation (in the central part but not the margins of spreading cells), and lamellipodial extension; this function is mechanically antagonized by MYH9; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
MCL	1	Red	80	MYH14	9606.ENSP00000470298	Myosin heavy chain 9/10/11/14; Myosin-14; Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping; Deafness associated genes
MCL	1	Red	80	MYH9	9606.ENSP00000216181	Myosin heavy chain 9/10/11/14; Myosin-9; Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. During cell spreading, plays an important role in cytoskeleton reorganization, focal contacts formation (in the margins but not the central part of spreading cells), and lamellipodial retraction; this function is mechanically antagonized by MYH10; Deafness associated genes
