#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	APOH	9606.ENSP00000263100	9606.ENSP00000205948	0	0	0	0	0.064	0	0	0.460	0.472
A1BG	HRG	9606.ENSP00000263100	9606.ENSP00000232003	0	0	0	0	0.098	0	0	0.474	0.505
A1BG	APOB	9606.ENSP00000263100	9606.ENSP00000233242	0	0	0	0	0.063	0	0	0.403	0.417
A1BG	APOA1	9606.ENSP00000263100	9606.ENSP00000236850	0	0	0	0	0.062	0	0	0.529	0.540
A1BG	TTR	9606.ENSP00000263100	9606.ENSP00000237014	0	0	0	0	0.062	0	0	0.507	0.517
A1BG	C3	9606.ENSP00000263100	9606.ENSP00000245907	0	0	0	0	0.062	0	0	0.430	0.443
A1BG	APCS	9606.ENSP00000263100	9606.ENSP00000255040	0	0	0	0	0.082	0	0	0.522	0.542
A1BG	CHL1	9606.ENSP00000263100	9606.ENSP00000256509	0	0	0	0	0	0	0	0.539	0.539
A1BG	ORM1	9606.ENSP00000263100	9606.ENSP00000259396	0	0	0	0	0.062	0	0	0.493	0.504
A1BG	ITIH3	9606.ENSP00000263100	9606.ENSP00000415769	0	0	0	0	0.062	0	0	0.400	0.413
A1BG	CLU	9606.ENSP00000263100	9606.ENSP00000315130	0	0	0	0	0	0	0	0.416	0.416
A1BG	FGG	9606.ENSP00000263100	9606.ENSP00000336829	0	0	0	0	0.064	0	0	0.419	0.433
A1BG	GIG25	9606.ENSP00000263100	9606.ENSP00000376793	0	0	0	0	0.049	0	0	0.441	0.446
A1BG	GSN	9606.ENSP00000263100	9606.ENSP00000362924	0	0	0	0	0	0	0	0.455	0.455
A1BG	SERPINC1	9606.ENSP00000263100	9606.ENSP00000356671	0	0	0	0	0.062	0	0	0.454	0.465
A1BG	A2M	9606.ENSP00000263100	9606.ENSP00000323929	0	0	0	0	0.056	0	0	0.466	0.475
A1BG	ITIH2	9606.ENSP00000263100	9606.ENSP00000351190	0	0	0	0	0.063	0	0	0.464	0.476
A1BG	PCYOX1	9606.ENSP00000263100	9606.ENSP00000387654	0	0	0	0	0	0	0	0.497	0.497
A1BG	ITIH4	9606.ENSP00000263100	9606.ENSP00000266041	0	0	0	0	0.063	0	0	0.491	0.502
A1BG	ORM2	9606.ENSP00000263100	9606.ENSP00000394936	0	0	0	0	0.062	0	0	0.494	0.505
A1BG	ITIH1	9606.ENSP00000263100	9606.ENSP00000273283	0	0	0	0	0.090	0	0	0.514	0.539
A1BG	CP	9606.ENSP00000263100	9606.ENSP00000264613	0	0	0	0	0.062	0	0	0.533	0.543
A1BG	APOA4	9606.ENSP00000263100	9606.ENSP00000350425	0	0	0	0	0.064	0	0	0.539	0.550
A1BG	SERPINA1	9606.ENSP00000263100	9606.ENSP00000416066	0	0	0	0	0.062	0	0	0.561	0.570
A1BG	HPX	9606.ENSP00000263100	9606.ENSP00000265983	0	0	0	0	0.063	0	0	0.609	0.618
A1BG	TF	9606.ENSP00000263100	9606.ENSP00000385834	0	0	0	0	0.062	0	0	0.611	0.619
A1BG	HP	9606.ENSP00000263100	9606.ENSP00000348170	0	0	0	0	0.085	0	0	0.603	0.621
A2M	APOH	9606.ENSP00000323929	9606.ENSP00000205948	0	0	0	0	0.141	0	0	0.519	0.569
A2M	MIF	9606.ENSP00000323929	9606.ENSP00000215754	0	0	0	0	0	0	0	0.459	0.459
A2M	VTN	9606.ENSP00000323929	9606.ENSP00000226218	0	0	0	0	0.111	0	0	0.503	0.539
A2M	APOC3	9606.ENSP00000323929	9606.ENSP00000227667	0	0	0	0	0.117	0	0	0.414	0.460
A2M	GAPDH	9606.ENSP00000323929	9606.ENSP00000229239	0	0	0	0	0	0.282	0	0.301	0.476
A2M	HRG	9606.ENSP00000323929	9606.ENSP00000232003	0	0	0	0	0.145	0.102	0	0.522	0.601
A2M	APOB	9606.ENSP00000323929	9606.ENSP00000233242	0	0	0	0	0.187	0	0	0.618	0.676
A2M	CTSD	9606.ENSP00000323929	9606.ENSP00000236671	0	0	0	0	0.081	0	0	0.418	0.442
A2M	APOA1	9606.ENSP00000323929	9606.ENSP00000236850	0	0	0	0	0.102	0	0.900	0.730	0.973
A2M	TTR	9606.ENSP00000323929	9606.ENSP00000237014	0	0	0	0	0.163	0.046	0	0.710	0.748
A2M	LRP1	9606.ENSP00000323929	9606.ENSP00000243077	0	0	0	0	0.174	0.709	0	0.989	0.997
A2M	APOE	9606.ENSP00000323929	9606.ENSP00000252486	0	0	0	0	0.158	0.270	0	0.785	0.856
A2M	APCS	9606.ENSP00000323929	9606.ENSP00000255040	0	0	0	0	0.082	0	0	0.473	0.495
A2M	ORM1	9606.ENSP00000323929	9606.ENSP00000259396	0	0	0	0	0.121	0	0	0.634	0.665
A2M	SDCBP	9606.ENSP00000323929	9606.ENSP00000260130	0	0	0	0	0	0	0	0.672	0.672
A2M	SORL1	9606.ENSP00000323929	9606.ENSP00000260197	0	0	0	0	0.049	0.076	0	0.391	0.418
A2M	CP	9606.ENSP00000323929	9606.ENSP00000264613	0	0	0	0	0.121	0	0	0.788	0.806
A2M	HPX	9606.ENSP00000323929	9606.ENSP00000265983	0	0	0	0	0.108	0	0	0.685	0.707
A2M	ITIH4	9606.ENSP00000323929	9606.ENSP00000266041	0.044	0	0	0	0.083	0.105	0	0.518	0.571
A2M	ITIH1	9606.ENSP00000323929	9606.ENSP00000273283	0.044	0	0	0	0.065	0.179	0	0.338	0.449
A2M	ATP6V1A	9606.ENSP00000323929	9606.ENSP00000273398	0	0	0	0	0	0.508	0	0	0.508
A2M	SERPING1	9606.ENSP00000323929	9606.ENSP00000278407	0	0	0	0	0.140	0	0	0.716	0.746
A2M	HSP90B1	9606.ENSP00000323929	9606.ENSP00000299767	0	0	0	0	0.062	0	0	0.434	0.446
A2M	FGA	9606.ENSP00000323929	9606.ENSP00000306361	0	0	0	0	0.186	0	0	0.467	0.548
A2M	GLB1	9606.ENSP00000323929	9606.ENSP00000306920	0	0	0	0	0	0.509	0	0	0.509
A2M	F2	9606.ENSP00000323929	9606.ENSP00000308541	0	0	0	0	0.135	0.134	0	0.783	0.824
A2M	PRSS1	9606.ENSP00000323929	9606.ENSP00000308720	0	0	0	0	0	0.134	0	0.441	0.495
A2M	CLU	9606.ENSP00000323929	9606.ENSP00000315130	0	0	0	0	0.076	0	0	0.649	0.662
A2M	C4BPA	9606.ENSP00000323929	9606.ENSP00000356037	0	0	0	0	0.066	0	0	0.404	0.419
A2M	ITIH2	9606.ENSP00000323929	9606.ENSP00000351190	0.044	0	0	0	0.185	0.105	0	0.293	0.441
A2M	SAA1	9606.ENSP00000323929	9606.ENSP00000384906	0	0	0	0	0.049	0	0	0.457	0.461
A2M	ACTB	9606.ENSP00000323929	9606.ENSP00000349960	0	0	0	0	0.049	0.282	0	0.275	0.461
A2M	ITIH3	9606.ENSP00000323929	9606.ENSP00000415769	0.044	0	0	0	0.214	0.105	0	0.328	0.488
A2M	AGT	9606.ENSP00000323929	9606.ENSP00000355627	0	0	0	0	0.241	0	0	0.401	0.525
A2M	GSN	9606.ENSP00000323929	9606.ENSP00000362924	0	0	0	0	0.137	0	0	0.480	0.532
A2M	FGG	9606.ENSP00000323929	9606.ENSP00000336829	0	0	0	0	0.183	0	0	0.468	0.546
A2M	APOA4	9606.ENSP00000323929	9606.ENSP00000350425	0	0	0	0	0.123	0	0	0.511	0.553
A2M	ORM2	9606.ENSP00000323929	9606.ENSP00000394936	0	0	0	0	0.116	0	0	0.533	0.570
A2M	CST3	9606.ENSP00000323929	9606.ENSP00000381448	0	0	0	0	0.088	0.125	0	0.537	0.598
A2M	FN1	9606.ENSP00000323929	9606.ENSP00000346839	0	0	0	0	0.112	0.058	0	0.566	0.605
A2M	TF	9606.ENSP00000323929	9606.ENSP00000385834	0	0	0	0	0.149	0	0	0.591	0.638
A2M	APOA2	9606.ENSP00000323929	9606.ENSP00000356969	0	0	0	0	0.104	0.154	0	0.636	0.700
A2M	GIG25	9606.ENSP00000323929	9606.ENSP00000376793	0	0	0	0	0.066	0	0	0.784	0.790
A2M	CTSB	9606.ENSP00000323929	9606.ENSP00000345672	0	0	0	0	0.098	0.213	0	0.842	0.878
A2M	SERPINA1	9606.ENSP00000323929	9606.ENSP00000416066	0	0	0	0	0.121	0	0	0.877	0.888
A2M	HP	9606.ENSP00000323929	9606.ENSP00000348170	0	0	0	0	0.063	0.134	0	0.879	0.893
A2M	SERPINC1	9606.ENSP00000323929	9606.ENSP00000356671	0	0	0	0	0.166	0	0	0.880	0.895
A2M	HSPA5	9606.ENSP00000323929	9606.ENSP00000324173	0	0	0	0	0	0.669	0	0.994	0.998
ACAA1	TECR	9606.ENSP00000333664	9606.ENSP00000215567	0	0	0	0	0.088	0	0	0.733	0.746
ACAA1	DECR1	9606.ENSP00000333664	9606.ENSP00000220764	0.047	0	0	0	0.247	0.071	0	0.374	0.526
ACAA1	CAT	9606.ENSP00000333664	9606.ENSP00000241052	0	0	0	0	0.166	0.335	0	0.717	0.829
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0.055	0	0	0	0.372	0.151	0.900	0.870	0.992
ACAA1	BDH2	9606.ENSP00000333664	9606.ENSP00000296424	0.047	0	0	0	0.109	0.071	0	0.423	0.484
ACAA1	PPIB	9606.ENSP00000333664	9606.ENSP00000300026	0	0	0	0	0.051	0.416	0	0.059	0.432
ACAA1	MDH2	9606.ENSP00000333664	9606.ENSP00000327070	0	0	0	0	0.082	0.141	0	0.375	0.464
ACAA1	ALDH3A2	9606.ENSP00000333664	9606.ENSP00000345774	0	0	0	0	0.062	0.057	0	0.429	0.450
ACAA1	VDAC3	9606.ENSP00000333664	9606.ENSP00000428845	0	0	0	0	0.062	0.618	0	0	0.626
ACAA1	ACSL6	9606.ENSP00000333664	9606.ENSP00000368566	0.069	0	0	0	0.296	0.241	0	0.359	0.638
ACAA1	SCP2	9606.ENSP00000333664	9606.ENSP00000360569	0	0	0	0.571	0.217	0.626	0.800	0.838	0.959
ACAA1	HSD17B4	9606.ENSP00000333664	9606.ENSP00000420914	0.093	0	0	0	0.644	0.573	0.900	0.890	0.998
ACAN	VTN	9606.ENSP00000387356	9606.ENSP00000226218	0	0	0	0	0	0.060	0	0.520	0.529
ACAN	GAPDH	9606.ENSP00000387356	9606.ENSP00000229239	0	0	0	0	0.063	0	0	0.683	0.690
ACAN	NCAN	9606.ENSP00000387356	9606.ENSP00000252575	0	0	0	0.650	0.062	0.077	0.500	0.846	0.667
ACAN	MATN2	9606.ENSP00000387356	9606.ENSP00000254898	0	0	0	0	0.062	0	0	0.459	0.470
ACAN	VCAN	9606.ENSP00000387356	9606.ENSP00000265077	0	0	0	0.601	0.062	0.077	0.500	0.911	0.699
ACAN	TNC	9606.ENSP00000387356	9606.ENSP00000265131	0	0	0	0	0.063	0.770	0.600	0.487	0.949
ACAN	CDH2	9606.ENSP00000387356	9606.ENSP00000269141	0	0	0	0	0.049	0	0	0.430	0.435
ACAN	HAPLN1	9606.ENSP00000387356	9606.ENSP00000274341	0	0	0	0.858	0.062	0.290	0.600	0.945	0.749
ACAN	THY1	9606.ENSP00000387356	9606.ENSP00000284240	0	0	0	0	0.083	0	0	0.609	0.626
ACAN	BGN	9606.ENSP00000387356	9606.ENSP00000327336	0	0	0	0	0	0.056	0	0.842	0.845
ACAN	BCAN	9606.ENSP00000387356	9606.ENSP00000331210	0	0	0	0.759	0.062	0	0.500	0.863	0.611
ACAN	IDH2	9606.ENSP00000387356	9606.ENSP00000331897	0	0	0	0	0.063	0	0	0.414	0.427
ACAN	CTNNB1	9606.ENSP00000387356	9606.ENSP00000344456	0	0	0	0	0	0	0	0.523	0.523
ACAN	CTSB	9606.ENSP00000387356	9606.ENSP00000345672	0	0	0	0	0.064	0.213	0	0.324	0.458
ACAN	FN1	9606.ENSP00000387356	9606.ENSP00000346839	0	0	0	0	0	0	0	0.988	0.989
ACAN	ACTB	9606.ENSP00000387356	9606.ENSP00000349960	0	0	0	0	0.064	0	0	0.583	0.593
ACAN	TNR	9606.ENSP00000387356	9606.ENSP00000356646	0	0	0	0	0.065	0.952	0.600	0	0.980
ACAN	AGRN	9606.ENSP00000387356	9606.ENSP00000368678	0	0	0	0	0	0	0	0.401	0.401
ACAN	PTPRZ1	9606.ENSP00000387356	9606.ENSP00000377047	0	0	0	0	0.062	0	0	0.696	0.703
ACAN	SPP1	9606.ENSP00000387356	9606.ENSP00000378517	0	0	0	0	0	0	0	0.654	0.654
ACAN	ITGB1	9606.ENSP00000387356	9606.ENSP00000379350	0	0	0	0	0.055	0	0	0.525	0.531
ACAN	PTPRC	9606.ENSP00000387356	9606.ENSP00000411355	0	0	0	0	0	0	0	0.524	0.524
ACAN	CD44	9606.ENSP00000387356	9606.ENSP00000398632	0	0	0	0	0	0	0	0.816	0.816
ACOT7	TECR	9606.ENSP00000367086	9606.ENSP00000215567	0	0	0	0	0	0	0.900	0	0.900
ACOT7	GAPDH	9606.ENSP00000367086	9606.ENSP00000229239	0	0	0	0	0.119	0.129	0	0.577	0.647
ACOT7	HSD17B12	9606.ENSP00000367086	9606.ENSP00000278353	0.078	0	0	0	0	0	0	0.394	0.417
ACOT7	SCP2	9606.ENSP00000367086	9606.ENSP00000360569	0	0	0	0	0	0	0	0.566	0.566
ACOT7	MGST1	9606.ENSP00000367086	9606.ENSP00000379512	0	0	0	0	0	0	0	0.494	0.494
ACOT7	TMED7	9606.ENSP00000367086	9606.ENSP00000405926	0	0	0	0	0	0	0	0.496	0.496
ACOT7	ACSL6	9606.ENSP00000367086	9606.ENSP00000368566	0.070	0	0	0	0.063	0.078	0	0.496	0.541
ACOT7	RER1	9606.ENSP00000367086	9606.ENSP00000475168	0	0	0	0	0	0	0	0.581	0.581
ACOT7	TPRG1L	9606.ENSP00000367086	9606.ENSP00000367595	0	0	0	0	0	0	0	0.702	0.702
ACOX1	DECR1	9606.ENSP00000293217	9606.ENSP00000220764	0.042	0	0	0	0.167	0.174	0	0.529	0.648
ACOX1	GAPDH	9606.ENSP00000293217	9606.ENSP00000229239	0	0	0	0	0	0	0	0.432	0.432
ACOX1	APOB	9606.ENSP00000293217	9606.ENSP00000233242	0	0	0	0	0.063	0	0	0.505	0.516
ACOX1	APOA1	9606.ENSP00000293217	9606.ENSP00000236850	0	0	0	0	0.064	0	0.900	0.361	0.934
ACOX1	CAT	9606.ENSP00000293217	9606.ENSP00000241052	0.069	0	0	0	0.112	0.744	0.900	0.645	0.991
